Nome,Site,Contato,Telefone,Categoria,Setor,UF
Agrosmart,agrosmart.com.br,contato@agrosmart.com.br,,Scale Up,Agro,AM / SP
Ateliware,ateliware.com,,,Software House,IT,
Baires Dev,bairesdev.com,press@bairesdev.com,1 (408) 478-2739,Software House,IT,
Blu,useblu.com.br,comercial@useblu.com.br,,Scale Up,Finance,
Caiena,caiena.net,contato@caiena.net,,Software House,IT,SP
Cashu,cashu.com.br,marketing@cashu.com.br,,Startup,Finance,
Catarse,catarse.me,contato@catarse.me,,Scale Up,Finance,
Check Plant,checkplant.com.br,checkplant@checkplant.com.br,,Startup,Agro,RS
Cilia,cilia.com.br,contato@cilia.com.br,,Startup,Transport,GO
ClickSign,clicksign.com.br,ajuda@clicksign.com,,Startup,IT,SP
Cloudwalk,cloudwalk.io,cloudwalk@cloudwalk.io,,Startup,Finance,SP
Codeminer 42,codeminer42.com,,,Software House,IT,GO/RN/SP
Creditas,creditas.com.br,ouvidoria@creditas.com.br,,Scale Up,Finance,SP
Cresce Vendas,crescevendas.com,atendimento@crescevendas.com,34 3493 1344,Startup,Marketing,MG
Daki,soudaki.com,resolveaki@soudaki.com,,Startup,Food,SP
Devlandia,devlandia.net,info@devlandia.net,,Software House,IT,
Dito,dito.com.br,falecom@dito.com.br,,Scale Up,IT,MG
Docsales,docsales.com,ajuda@docsales.com,,Startup,IT,
DogHero,doghero.com.br,contato@doghero.com.br,,Scale Up,Tourism,SP
Dr e,doutore.com,porto@doutore.com,,Startup,Healthcare,
Dsop Educação,dsop.com.br,contato@dsop.com.br,,Scale Up,Education,SP
Easyb2b,easyb2b.com.br,,,Startup,IT,SP
EasyCrédito,easycredito.me,relacionamento@easycredito.com.br,,Startup,Finance,SP/GO
Ebanx,ebanx.com,ouvidoria@ebanx.com,,Grupo,Finance,PR
Ecostage,ecostage.com.br,contato@ecostage.com.br,,Software House,IT,
Eicon,eicon.com.br,marketing@tecnogroup.com.br,,Scale Up,IT,
Eleven (99jobs),eleven.99jobs.com,growth@99jobs.com,,Scale Up,Recruitment,SP
El Pescador (Knowbe4),elpescador.com.br,,,Grupo,IT,SP
Emprego Ligado,empregoligado.com.brpt-br,,,Startup,Recruitment,
Encanto,boraencantar.com.br,,31 4040-4142,Scale Up,IT,
Enjoei,enjoei.com.br,,(11) 3197-4883,Scale Up,Fashion,SP
Estante Virtual,estantevirtual.com.br,atendimento@estantevirtual.com.br,,Scale Up,Media,RJ
Estudar com VC,estudar.com.vc,info@docsity.com,,Startup,Education,
Festalab,festalab.com.br,suporte@festalab.com,(11) 91443-5627,Startup,Marketing,
Fintera,fintera.com.br,rh@fintera.com.br,,Startup,Fintech,RJ
Fitlab,fitlab.app,contato@fitlab.com.br,,Startup,Health Tech,SP
Fractal Technologia,fractaltecnologia.com.br,contato@fractaltecnologia.com.br,,Software House,IT,PB
FSales,fsales.com.br,,,Startup,IT,SP
Fulllab,fulllab.com.br,,,Startup,IT,RJ
Geekhunter,geekhunter.com.br,,(11) 4673-2020,Scale Up,Recruitment,SC
Getninjas,getninjas.com.br,,,Scale Up,Marketing,SP
Globo,globo.com,atendimentoglobo@tvglobo.com.br,,Grupo,Media,RS/RJ
Govpredict,govpredict.com,info@quorumeu.com,32 2 335 12 18,Scale Up,IT,
Grafeno Digital,grafeno.digital,,(11) 3181-6110,Startup,Finance,
Guava Software,guava.software,,,Software House,IT,PE
Gympass,gympass.com.br,relacionamento@gympass.com,(11) 3522-7499,Scale Up,Fitness,SP
HeroSpark,herospark.com,contato@herospark.com,,Scale Up,Education,PR
